artifact_id,campaign_id,phase_id,acquisition_id,relative_path,artifact_role,media_type,byte_size,created_utc,modified_utc,producer,source_artifact_ids,immutable,notes
HF01-ART-0195,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_step_rise_2_pico.csv,raw_primary,text/csv,76391,2026-08-26T21:29:10.244905Z,2026-08-26T21:29:10.247415Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0196,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_step_rise_3_pico.csv,raw_primary,text/csv,76458,2026-08-26T21:29:14.561085Z,2026-08-26T21:29:14.565599Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0197,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_zero_baseline_pico.csv,raw_primary,text/csv,75043,2026-08-26T21:29:00.875993Z,2026-08-26T21:29:00.878717Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0198,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_final_safe_idle.json,raw_primary,application/json,10860,2026-08-26T21:35:03.415127Z,2026-08-26T21:35:03.416123Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0199,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_hf2_raw.csv,raw_primary,text/csv,1629657,2026-08-26T21:34:55.746576Z,2026-08-26T21:34:55.790060Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0200,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_hf2_summary.csv,raw_primary,text/csv,367,2026-08-26T21:34:55.793572Z,2026-08-26T21:34:55.794576Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0201,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_offset_1_pico.csv,raw_primary,text/csv,74837,2026-08-26T21:33:29.392774Z,2026-08-26T21:33:29.401777Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0202,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_offset_2_pico.csv,raw_primary,text/csv,73981,2026-08-26T21:34:32.435999Z,2026-08-26T21:34:32.442005Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0203,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_offset_3_pico.csv,raw_primary,text/csv,73867,2026-08-26T21:34:39.033948Z,2026-08-26T21:34:39.036553Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0204,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_pre_safe_idle.json,raw_primary,application/json,10859,2026-08-26T21:33:05.831929Z,2026-08-26T21:33:05.832438Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0205,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_status.json,raw_primary,application/json,22605,2026-08-26T21:32:59.846751Z,2026-08-26T21:35:03.418122Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0206,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_step_fall_1_pico.csv,raw_primary,text/csv,72395,2026-08-26T21:33:18.569149Z,2026-08-26T21:33:18.572785Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0207,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_step_fall_2_pico.csv,raw_primary,text/csv,72759,2026-08-26T21:33:22.960051Z,2026-08-26T21:33:22.963583Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0208,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_step_fall_3_pico.csv,raw_primary,text/csv,72568,2026-08-26T21:33:27.277690Z,2026-08-26T21:33:27.280981Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
